Date,Open,High,Low,Close,Adj Close,Volume
2017-10-20,4340.437988,4595.518066,4284.801758,4558.272949,4558.272949,1785282038
2017-10-21,4547.156738,4697.361328,4523.104004,4573.551758,4573.551758,1673566806
2017-10-22,4577.388672,4607.415527,4392.128906,4555.284180,4555.284180,1542554978
2017-10-23,4553.449707,4602.371094,4348.380859,4491.985840,4491.985840,1819300203
2017-10-24,4495.924805,4496.605957,4192.383301,4209.811035,4209.811035,2083866520
2017-10-25,4208.257324,4336.345215,4110.478027,4333.358398,4333.358398,1482171616
2017-10-26,4331.210938,4524.451172,4310.095215,4497.890137,4497.890137,1451127361
2017-10-27,4494.013184,4564.321777,4366.145508,4405.501953,4405.501953,1303254114
2017-10-28,4410.775879,4478.524902,4335.611816,4384.308594,4384.308594,1069897881
2017-10-29,4385.337402,4766.981445,4362.582031,4685.435059,4685.435059,2176823512
2017-10-30,4655.740723,4719.051270,4585.085449,4640.473633,4640.473633,1341420041
2017-10-31,4641.601563,4868.645508,4622.333984,4867.484375,4867.484375,1739318209
2017-11-01,4846.843262,5105.477051,4805.877441,5105.477051,5105.477051,2165462186
2017-11-02,5113.368652,5570.759766,5096.689941,5423.306641,5423.306641,3565561017
2017-11-03,5430.225098,5711.336426,5365.004395,5513.048828,5513.048828,2577527991
2017-11-04,5479.944824,5731.115234,5378.062988,5644.752930,5644.752930,1899801181
2017-11-05,5663.545898,5826.434082,5608.987305,5664.023438,5664.023438,1820163719
2017-11-06,5660.819824,5685.095703,5321.873047,5331.177246,5331.177246,2362331970
2017-11-07,5331.435547,5509.547852,5331.840332,5425.149902,5425.149902,1766527524
2017-11-08,5422.871582,5936.198242,5402.505859,5689.208496,5689.208496,3509914631
2017-11-09,5679.400391,5678.967285,5412.744141,5435.687012,5435.687012,2454915526
2017-11-10,5458.628906,5561.725098,4878.264648,5018.304688,5018.304688,3949234043
2017-11-11,5018.660645,5211.669434,4704.443359,4820.746094,4820.746094,3722080825
2017-11-12,4773.620117,5023.543945,4184.872559,4535.114258,4535.114258,6827248390
2017-11-13,4526.104980,5200.572754,4455.168457,4999.992676,4999.992676,4774182422
2017-11-14,5001.509277,5158.593750,4930.375488,5043.513184,5043.513184,2429968850
2017-11-15,5042.760254,5575.404297,5042.760254,5553.856934,5553.856934,3189250021
2017-11-16,5559.702637,6038.181152,5447.119629,5964.305176,5964.305176,3882262306
2017-11-17,5950.575684,6059.951660,5711.224121,5835.281250,5835.281250,3521058221
2017-11-18,5826.364258,5968.503906,5649.413086,5896.714844,5896.714844,2775861037
2017-11-19,5878.457031,6133.628906,5824.010254,6089.172852,6089.172852,2386209983
2017-11-20,6091.127441,6298.625000,6023.154785,6193.368652,6193.368652,2634582016
2017-11-21,6197.220703,6302.778320,5860.417969,6093.356445,6093.356445,3229359795
2017-11-22,6098.407227,6272.010254,6094.694336,6199.150879,6199.150879,2729104786
2017-11-23,6183.250488,6207.688965,6042.824707,6042.824707,6042.824707,3176110580
2017-11-24,6069.322754,6291.157715,5971.521973,6189.494141,6189.494141,3793483447
2017-11-25,6180.509766,6592.365723,6142.594727,6592.365723,6592.365723,3256138007
2017-11-26,6590.956055,7139.163086,6580.869629,7003.865723,7003.865723,4110178580
2017-11-27,7020.507324,7371.133301,7021.561523,7371.133301,7371.133301,4244234378
2017-11-28,7374.947266,7623.625977,7352.590332,7527.351563,7527.351563,4751043903
2017-11-29,7541.270996,8586.744141,7152.670898,7371.857910,7371.857910,8624422055
2017-11-30,7385.410645,8021.537109,6804.236816,7564.754395,7564.754395,6143324802
2017-12-01,7538.881836,8165.200684,7166.888672,8148.180664,8148.180664,5035723736
2017-12-02,8150.185547,8404.008789,8095.842285,8221.677734,8221.677734,3814773642
2017-12-03,8227.691406,8826.721680,8081.244141,8394.395508,8394.395508,4899036074
2017-12-04,8388.613281,8652.910156,8193.567383,8652.910156,8652.910156,4551966936
2017-12-05,8674.064453,8957.045898,8615.784180,8885.103516,8885.103516,5141112556
2017-12-06,8890.098633,10740.842773,8890.098633,10673.263672,10673.263672,9452053795
2017-12-07,10654.293945,13276.739258,10506.988281,13276.739258,13276.739258,13314567216
2017-12-08,13204.940430,13628.425781,10644.369141,12380.931641,12380.931641,15793169675
2017-12-09,12346.485352,12540.536133,10218.113281,11341.403320,11341.403320,10394754611
2017-12-10,11334.081055,11843.831055,9883.134766,11542.495117,11542.495117,10032337541
2017-12-11,11521.583984,13130.829102,11503.845703,12689.593750,12689.593750,9106091280
2017-12-12,12676.856445,13362.742188,12421.557617,13076.587891,13076.587891,10965459943
2017-12-13,13140.111328,13251.087891,12007.561523,12237.619141,12237.619141,9678475609
2017-12-14,12220.017578,12722.115234,12048.458984,12332.663086,12332.663086,10257910660
2017-12-15,12360.435547,13566.058594,12359.515625,13294.466797,13294.466797,10744049565
2017-12-16,13334.560547,14803.438477,13150.612305,14638.787109,14638.787109,9565733019
2017-12-17,14622.570313,15082.963867,14246.958984,14375.367188,14375.367188,9999699539
2017-12-18,14349.531250,14487.323242,13774.500977,14287.785156,14287.785156,11092465074
2017-12-19,14290.851563,14336.398438,12909.430664,13282.052734,13282.052734,12622907830
2017-12-20,13269.800781,13379.111328,12027.004883,12435.185547,12435.185547,16567955407
2017-12-21,12448.500977,13151.444336,11468.605469,11814.369141,11814.369141,12347936459
2017-12-22,11885.466797,11920.299805,8845.780273,10356.244141,10356.244141,16620245295
2017-12-23,10443.770508,11682.540039,10353.998047,11005.690430,11005.690430,9797843762
2017-12-24,10937.556641,10950.883789,9544.549805,10422.722656,10422.722656,8661252733
2017-12-25,10475.189453,10920.452148,10065.035156,10487.960938,10487.960938,7974203607
2017-12-26,10495.438477,12310.200195,10491.250977,12038.133789,12038.133789,10060041992
2017-12-27,12085.763672,12654.832031,11279.328125,11818.894531,11818.894531,9318409169
2017-12-28,11837.997070,11860.555664,10363.845703,10869.548828,10869.548828,9180309356
2017-12-29,10936.001953,11349.725586,10598.562500,10846.802734,10846.802734,9639949793
2017-12-30,10865.823242,10865.823242,9140.097656,9585.702148,9585.702148,10696121824
2017-12-31,9545.367188,10651.503906,9449.992188,10487.776367,10487.776367,8991183523
2018-01-01,10455.030273,10460.455078,9750.722656,10110.453125,10110.453125,7618596387
2018-01-02,10086.615234,11363.007813,9742.155273,11021.922852,11021.922852,12393585075
2018-01-03,11019.053711,11458.170898,10931.148438,11252.498047,11252.498047,12489377571
2018-01-04,11304.093750,11616.014648,10728.576172,11512.325195,11512.325195,16076162173
2018-01-05,11422.288086,13049.233398,11211.503906,12846.035156,12846.035156,17571417359
2018-01-06,12870.061523,13054.540039,12355.984375,12917.895508,12917.895508,13498378868
2018-01-07,12918.117188,12956.662109,11862.335938,12139.088867,12139.088867,11688522458
2018-01-08,12138.057617,12185.308594,10485.756836,11180.792969,11180.792969,13571565283
2018-01-09,11146.594727,11419.571289,10658.390625,10788.233398,10788.233398,12314287637
